Line ID,Wavelength
"[1,7]: (1-6)P(8)",1467.08
"[1,7]: (1-7)R(6)",1500.45
"[1,7]: (1-7)P(8)",1524.65
"[1,7]: (1-8)R(6)",1556.87
"[1,4]: (1-6)R(3)",1431.01
"[1,4]: (1-6)P(5)",1446.12
"[1,4]: (1-7)R(3)",1489.57
"[1,4]: (1-7)P(5)",1504.76
"[0,1]: (0-5)P(2)",1398.95
"[0,1]: (0-6)P(2)",1460.17
"[0,1]: (0-2)P(2)",1521.59
"[0,2]: (0-5)P(3)",1402.65
"[0,2]: (0-6)P(3)",1463.83
"[0,2]: (0-7)P(3)",1525.15
"[3,13]: (3-9)P(14)",1608.33
"[3,13]: (3-10)R(12)",1615.43
"[4,13]: (4-6)R(12)",1415.33
"[4,13]: (4-8)R(12)",1509.45
"[4,13]: (4-11)R(12)",1613.99
"[3,16]: (3-5)R(15)",1418.23
"[3,16]: (3-7)R(15)",1513.99
"[3,16]: (3-9)R(15)",1593.26
"[3,16]: (3-10)R(15)",1621.12
"[4,4]: (4-8)P(5)",1477.05
"[4,4]: (4-9)P(5)",1526.55
"[4,4]: (4-11)P(5)",1613.72
"[3,0]: (3-7)P(1)",1435.05
"[3,0]: (3-10)P(1)",1591.32
"[3,0]: (3-11)P(1)",1636.34
"[2,12]: (2-5)P(13)",1434.54
"[2,12]: (2-6)R(11)",1453.1
"[2,12]: (2-8)R(11)",1555.89
"[2,12]: (2-8)P(13)",1588.8
"[2,15]: (2-8)P(16)",1612.39
"[2,15]: (2-9)R(14)",1617.42
"[0,3]: (0-5)R(2)",1395.2
"[0,3]: (0-5)P(4)",1407.29
"[0,3]: (0-6)P(4)",1468.39
